loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,open_acc,total_acc,issue_d,fico_range_low,fico_range_high,application_type,loan_status,int_rate_dec,term_months,income_to_loan,dti_clipped,risk_band,default_flag
6482,19277.36,60 months,13.49,443.45,E,E2,0,OWN,106326.9,car,IL,21.17,1,67.06,0,3,2022-10-27,641,650,Individual,Fully Paid,0.1349,60,5.5156359584507415,21.17,Low,0
6483,22698.7,36 months,13.14,766.3,D,D4,1,MORTGAGE,43590.29,moving,MO,14.18,0,29.07,11,13,2022-03-21,675,686,Individual,Fully Paid,0.13140000000000002,36,1.92038707062519,14.18,Low,0
6484,20043.14,36 months,16.14,706.0,F,F1,1,RENT,128767.31,debt_consolidation,OH,33.05,0,14.43,10,14,2021-09-15,620,640,Individual,Fully Paid,0.16140000000000002,36,6.424507836596462,33.05,Very Low,0
6485,23216.48,36 months,14.95,804.2,E,E5,0,RENT,46705.11,medical,NJ,27.33,0,89.13,14,20,2023-10-09,632,648,Individual,Fully Paid,0.1495,36,2.0117222765897327,27.33,Very Low,0
6486,9618.19,60 months,8.31,196.47,B,B5,10,RENT,156882.25,major_purchase,NC,7.25,0,33.92,12,21,2023-02-14,726,745,Individual,Fully Paid,0.08310000000000001,60,16.310995104068436,7.25,High,0
6487,31562.16,36 months,11.07,1034.4,D,D1,3,RENT,35205.01,home_improvement,TX,18.69,0,44.02,12,20,2024-03-16,665,676,Individual,Fully Paid,0.1107,36,1.1154182730206046,18.69,Low,0
6488,15197.57,36 months,5.98,462.18,A,A5,9,MORTGAGE,163463.49,house,FL,15.99,0,45.5,8,10,2023-05-14,754,774,Individual,Fully Paid,0.059800000000000006,36,10.75589650187497,15.99,High,0
6489,35607.81,36 months,17.56,1279.45,G,G4,0,RENT,113930.22,credit_card,IN,12.3,0,65.31,6,10,2023-03-27,577,585,Individual,Fully Paid,0.17559999999999998,36,3.1995851471910237,12.3,Very Low,0
6490,19725.04,36 months,8.84,625.81,B,B3,1,MORTGAGE,187324.32,home_improvement,GA,10.74,0,9.78,8,17,2021-05-06,732,747,Individual,Fully Paid,0.08839999999999999,36,9.496777699817086,10.74,High,0
6491,23916.59,36 months,11.76,791.67,D,D1,0,OWN,125429.49,home_improvement,MA,14.38,0,65.71,8,16,2021-03-22,676,689,Individual,Fully Paid,0.1176,36,5.244455417766496,14.38,Low,0
6492,40000.0,36 months,15.06,1387.7,E,E1,2,MORTGAGE,65682.27,wedding,TN,29.67,0,76.34,11,19,2022-03-25,648,658,Individual,Fully Paid,0.1506,36,1.64205675,29.67,Low,0
6493,21413.94,60 months,8.52,439.51,B,B3,8,RENT,74522.68,moving,AZ,21.55,1,31.97,5,7,2022-05-17,721,737,Individual,Fully Paid,0.0852,60,3.480101279820528,21.55,High,0
6494,21096.91,60 months,14.2,493.09,E,E4,4,RENT,64629.56,medical,FL,18.68,0,16.02,10,16,2023-05-30,636,653,Individual,Fully Paid,0.142,60,3.063460952338518,18.68,Very Low,0
6495,19434.27,60 months,6.25,377.97,A,A3,1,MORTGAGE,46276.71,credit_card,MD,7.22,0,6.5,14,20,2021-12-17,767,772,Joint,Fully Paid,0.0625,60,2.381191060945433,7.22,Very High,0
6496,17835.6,60 months,10.98,387.65,C,C1,5,MORTGAGE,61055.46,car,WA,0.0,1,57.13,6,12,2021-08-27,708,713,Individual,Fully Paid,0.10980000000000001,60,3.423235551369172,0.0,Medium,0
6497,30104.81,60 months,10.67,649.56,C,C5,8,OWN,109948.43,house,MA,9.51,0,26.37,8,16,2021-01-24,690,701,Joint,Fully Paid,0.1067,60,3.6521881387060735,9.51,Medium,0
6498,27934.73,60 months,10.96,606.75,C,C4,9,MORTGAGE,159477.47,medical,MD,29.25,0,58.83,5,6,2024-01-27,695,704,Individual,Fully Paid,0.1096,60,5.7089318565098,29.25,Medium,0
6499,22581.46,36 months,8.97,717.74,C,C3,6,RENT,56966.91,other,IN,18.06,0,63.67,5,9,2023-12-21,692,705,Joint,Fully Paid,0.0897,36,2.522729265512505,18.06,Medium,0
6500,32596.57,60 months,13.46,749.31,E,E1,3,MORTGAGE,49102.25,debt_consolidation,MI,13.37,1,52.75,6,9,2024-01-02,644,659,Individual,Fully Paid,0.1346,60,1.506362479242448,13.37,Low,0
6501,26889.31,36 months,8.01,842.68,B,B4,1,MORTGAGE,163157.82,major_purchase,NJ,23.79,0,68.49,5,14,2022-05-31,736,751,Individual,Fully Paid,0.0801,36,6.067757781809946,23.79,High,0
6502,22718.42,36 months,9.74,730.24,C,C3,1,OWN,61721.44,credit_card,CA,18.25,0,32.6,9,15,2022-09-05,693,706,Individual,Fully Paid,0.0974,36,2.7168016085625677,18.25,Medium,0
6503,28592.76,36 months,13.06,964.25,E,E4,9,RENT,37988.68,vacation,IN,11.98,0,25.85,5,13,2022-03-28,649,661,Individual,Fully Paid,0.1306,36,1.3286118583865287,11.98,Low,0
6504,24111.26,36 months,13.25,815.35,D,D4,3,MORTGAGE,111573.66,credit_card,IL,21.61,0,42.06,4,7,2023-04-14,672,678,Individual,Fully Paid,0.1325,36,4.627450411135711,21.61,Low,0
6505,18674.11,60 months,4.86,351.2,A,A5,5,MORTGAGE,79149.2,car,NC,22.29,1,46.66,12,13,2021-08-12,761,778,Individual,Fully Paid,0.048600000000000004,60,4.238445634089121,22.29,Very High,0
6506,14934.85,36 months,16.98,532.31,F,F3,7,MORTGAGE,63796.01,debt_consolidation,MI,36.25,0,36.38,9,11,2022-03-19,615,621,Individual,Fully Paid,0.1698,36,4.271620404624084,36.25,Very Low,0
6507,20492.89,36 months,7.78,640.11,A,A5,4,RENT,70372.35,moving,NC,28.46,0,90.7,5,14,2023-01-20,752,771,Individual,Fully Paid,0.07780000000000001,36,3.4339885687182243,28.46,High,0
6508,24244.75,36 months,9.5,776.58,C,C3,0,MORTGAGE,85898.85,home_improvement,WI,15.2,0,1.62,9,17,2021-08-30,697,703,Individual,Charged Off,0.095,36,3.542987657121645,15.2,Medium,1
6509,17136.59,60 months,7.78,345.71,C,C4,1,MORTGAGE,37163.51,wedding,WA,17.91,1,53.29,14,20,2021-03-12,704,720,Joint,Fully Paid,0.07780000000000001,60,2.168664244169931,17.91,Medium,0
6510,31492.16,60 months,11.52,692.95,D,D4,9,RENT,52592.57,medical,TN,7.49,1,5.76,16,23,2023-01-17,669,683,Individual,Charged Off,0.1152,60,1.6700210465080834,7.49,Low,1
6511,20754.01,36 months,5.23,624.17,A,A4,3,RENT,79144.47,vacation,IN,16.34,0,45.59,13,18,2021-09-06,752,765,Individual,Fully Paid,0.052300000000000006,36,3.8134543637591003,16.34,High,0
6512,25627.97,36 months,6.59,786.56,B,B1,0,RENT,54060.88,home_improvement,AZ,21.86,0,73.36,13,16,2024-04-02,725,737,Individual,Fully Paid,0.0659,36,2.1094483878356343,21.86,High,0
6513,27297.15,36 months,12.42,912.13,D,D2,8,RENT,86722.08,vacation,NY,17.71,0,0.0,13,18,2023-01-31,674,691,Individual,Fully Paid,0.1242,36,3.176964628175469,17.71,Low,0
6514,21336.12,60 months,6.44,416.87,A,A3,9,MORTGAGE,183155.67,debt_consolidation,FL,8.64,1,50.31,7,7,2021-12-18,752,763,Individual,Fully Paid,0.0644,60,8.584300706970152,8.64,High,0
6515,20987.32,36 months,10.46,681.78,C,C3,9,RENT,91127.33,credit_card,MI,12.83,0,54.02,15,19,2021-05-29,705,712,Individual,Fully Paid,0.10460000000000001,36,4.342018418740459,12.83,Medium,0
6516,21303.38,60 months,11.07,463.95,D,D4,1,RENT,56313.35,wedding,TN,12.31,1,39.94,9,22,2023-08-05,669,683,Individual,Fully Paid,0.1107,60,2.64339977975326,12.31,Low,0
6517,16655.36,36 months,13.08,561.84,D,D1,4,OTHER,47381.71,home_improvement,CA,22.8,1,27.94,5,10,2022-06-13,671,680,Individual,Fully Paid,0.1308,36,2.844832534391331,22.8,Low,0
6518,33198.27,60 months,7.34,662.75,B,B1,10,MORTGAGE,27112.36,small_business,TN,22.48,0,40.77,5,10,2022-12-02,740,758,Individual,Fully Paid,0.07339999999999999,60,0.8166799053083189,22.48,High,0
6519,24976.25,36 months,6.95,770.6,B,B3,9,OWN,45621.72,house,NJ,18.67,1,44.82,7,13,2022-03-10,720,731,Individual,Fully Paid,0.0695,36,1.8266040738701768,18.67,Medium,0
6520,22057.9,60 months,14.91,523.73,F,F4,9,MORTGAGE,41796.01,credit_card,NJ,21.84,0,0.0,10,13,2023-06-12,607,616,Individual,Fully Paid,0.1491,60,1.8948317836240076,21.84,Very Low,0
6521,27863.88,60 months,9.26,581.89,C,C3,8,RENT,61490.1,other,NC,15.56,0,39.01,9,11,2021-12-22,709,719,Individual,Fully Paid,0.0926,60,2.206803216206788,15.56,Medium,0
6522,16379.25,60 months,6.11,317.5,A,A5,10,MORTGAGE,52071.57,wedding,MI,11.01,1,48.45,5,11,2021-09-26,752,767,Individual,Fully Paid,0.0611,60,3.1791180914877053,11.01,High,0
6523,26747.25,60 months,6.95,528.97,B,B3,1,MORTGAGE,91925.55,moving,NY,16.01,0,59.89,0,6,2021-09-04,722,730,Individual,Fully Paid,0.0695,60,3.436822477077083,16.01,High,0
6524,25632.61,36 months,7.19,793.64,B,B2,1,RENT,129008.02,major_purchase,NC,18.72,0,92.72,16,20,2022-03-01,722,733,Individual,Charged Off,0.0719,36,5.032964649327556,18.72,High,1
6525,25115.35,36 months,19.59,928.1,G,G2,2,RENT,34292.68,home_improvement,GA,19.98,1,60.58,10,10,2021-03-10,573,579,Individual,Fully Paid,0.1959,36,1.3654072111278561,19.98,Very Low,0
6526,15485.34,36 months,7.36,480.67,B,B1,2,RENT,79766.61,home_improvement,NC,13.25,0,46.76,14,26,2023-01-17,724,734,Individual,Fully Paid,0.0736,36,5.15110485142722,13.25,High,0
6527,19308.98,36 months,6.88,595.15,A,A2,8,RENT,139051.29,moving,PA,4.21,0,35.01,7,18,2024-01-17,768,779,Individual,Fully Paid,0.0688,36,7.201379358205354,4.21,Very High,0
6528,24802.14,36 months,10.08,801.26,C,C2,5,RENT,64121.76,credit_card,VA,19.5,1,24.44,7,16,2021-03-15,710,722,Individual,Fully Paid,0.1008,36,2.585331749599027,19.5,Medium,0
6529,14785.92,36 months,6.95,456.24,A,A5,0,RENT,73916.96,medical,MO,3.07,0,41.57,11,13,2022-09-02,762,771,Individual,Fully Paid,0.0695,36,4.9991451326667535,3.07,Very High,0
6530,19328.29,60 months,8.21,393.86,B,B1,10,MORTGAGE,55710.93,moving,NY,14.91,0,34.58,7,9,2021-10-05,724,743,Individual,Fully Paid,0.0821,60,2.882351723820369,14.91,High,0
6531,40000.0,36 months,18.01,1446.32,G,G2,5,RENT,33913.6,vacation,NC,5.04,0,32.87,7,11,2024-03-15,577,582,Individual,Charged Off,0.1801,36,0.8478399999999999,5.04,Very Low,1
6532,24955.53,36 months,11.67,824.97,D,D4,9,MORTGAGE,31334.45,debt_consolidation,PA,26.64,1,54.71,10,13,2024-03-11,661,680,Individual,Fully Paid,0.1167,36,1.2556114817036546,26.64,Low,0
6533,40000.0,36 months,5.21,1202.54,A,A2,3,RENT,54230.65,major_purchase,NY,24.06,0,84.98,0,0,2022-06-13,762,769,Individual,Fully Paid,0.0521,36,1.35576625,24.06,Very High,0
6534,26964.47,60 months,10.25,576.3,C,C2,6,MORTGAGE,58338.27,credit_card,IN,24.68,0,73.34,12,16,2022-02-06,710,723,Individual,Fully Paid,0.1025,60,2.1635237035995885,24.68,Medium,0
6535,21915.47,36 months,7.45,681.24,B,B3,2,MORTGAGE,81289.67,house,NC,7.98,1,64.23,4,9,2023-06-22,722,737,Individual,Fully Paid,0.0745,36,3.709236899779014,7.98,High,0
6536,17470.77,60 months,4.05,322.17,A,A4,2,MORTGAGE,132985.42,house,NJ,6.1,0,76.95,6,7,2023-09-23,761,773,Individual,Fully Paid,0.0405,60,7.611880873023914,6.1,Very High,0
6537,18161.62,36 months,10.35,588.98,C,C4,5,RENT,33191.52,other,WA,34.8,0,38.76,5,11,2022-04-22,702,722,Joint,Charged Off,0.1035,36,1.827563840670601,34.8,Medium,1
6538,25108.58,36 months,9.89,808.93,C,C1,5,RENT,35126.32,house,FL,18.74,0,28.36,5,10,2021-10-06,694,711,Individual,Fully Paid,0.0989,36,1.3989767641180821,18.74,Medium,0
6539,22535.65,36 months,12.38,752.58,D,D4,9,RENT,114160.0,house,MD,2.66,0,68.18,7,15,2023-04-17,675,686,Individual,Charged Off,0.12380000000000001,36,5.065751376152895,2.66,Low,1
6540,24658.71,60 months,14.0,573.77,E,E3,0,RENT,44558.59,major_purchase,MO,14.47,0,34.67,11,15,2021-08-16,638,656,Individual,Fully Paid,0.14,60,1.8070122078567774,14.47,Very Low,0
6541,24103.04,60 months,8.78,497.82,B,B3,5,MORTGAGE,92525.7,other,MO,10.69,0,22.73,11,22,2024-04-08,735,754,Individual,Charged Off,0.08779999999999999,60,3.8387564390217994,10.69,High,1
6542,23693.88,36 months,16.45,838.29,F,F5,8,MORTGAGE,81708.52,debt_consolidation,PA,23.63,0,79.88,9,15,2023-05-06,612,623,Joint,Fully Paid,0.16449999999999998,36,3.4485073782765845,23.63,Very Low,0
6543,30004.7,36 months,9.87,966.37,C,C1,10,RENT,81100.29,credit_card,NC,8.82,0,16.37,9,13,2022-09-14,703,709,Individual,Fully Paid,0.0987,36,2.7029195426049917,8.82,Medium,0
6544,24671.4,36 months,8.4,777.66,B,B1,6,OWN,68346.92,major_purchase,PA,13.8,1,38.99,5,15,2021-05-11,722,730,Individual,Fully Paid,0.084,36,2.770289484990718,13.8,High,0
6545,23078.67,36 months,15.32,803.67,E,E1,10,OWN,78404.83,major_purchase,WA,23.16,0,59.19,7,13,2022-09-10,637,645,Joint,Fully Paid,0.1532,36,3.3972854588241006,23.16,Very Low,0
6546,23216.43,36 months,5.15,697.37,A,A3,1,RENT,80016.57,wedding,PA,19.67,1,56.81,12,15,2021-12-15,768,779,Individual,Fully Paid,0.051500000000000004,36,3.4465492756638296,19.67,Very High,0
6547,13666.02,60 months,8.01,277.15,C,C2,2,MORTGAGE,50661.74,wedding,WI,14.15,0,31.18,8,13,2024-03-23,709,721,Individual,Fully Paid,0.0801,60,3.707131996001762,14.15,Medium,0
6548,28068.53,36 months,12.95,945.08,D,D1,10,RENT,58175.44,credit_card,IL,9.17,0,53.4,14,22,2023-03-26,666,679,Individual,Fully Paid,0.1295,36,2.0726215444841607,9.17,Low,0
6549,25291.41,60 months,8.61,520.29,B,B5,4,MORTGAGE,60124.05,medical,TX,18.06,0,17.39,2,8,2023-09-23,723,735,Individual,Fully Paid,0.0861,60,2.377251802094071,18.06,High,0
6550,16026.35,36 months,16.78,569.65,E,E5,5,MORTGAGE,60151.47,credit_card,MI,2.73,2,64.95,17,24,2023-06-22,636,656,Joint,Fully Paid,0.1678,36,3.7532856826414,2.73,Very Low,0
6551,14504.78,36 months,8.11,455.26,B,B5,4,RENT,42527.41,other,MO,20.46,0,41.72,9,17,2022-04-03,740,749,Individual,Fully Paid,0.08109999999999999,36,2.931958292369826,20.46,High,0
6552,24800.46,60 months,13.74,573.75,E,E3,1,RENT,92211.52,small_business,CA,18.01,0,68.88,6,8,2021-10-13,644,663,Individual,Fully Paid,0.1374,60,3.7181374861595313,18.01,Low,0
6553,18734.22,36 months,6.45,573.77,A,A4,1,MORTGAGE,71725.51,credit_card,TN,15.13,0,58.85,6,10,2021-04-26,754,774,Individual,Fully Paid,0.0645,36,3.8285826685071482,15.13,High,0
6554,22768.02,36 months,8.87,722.6,B,B1,9,RENT,42327.87,wedding,TN,9.71,0,92.17,4,11,2022-06-27,725,737,Individual,Fully Paid,0.08869999999999999,36,1.8590931490748868,9.71,High,0
6555,24610.8,36 months,10.61,801.23,C,C4,2,MORTGAGE,45685.0,major_purchase,MD,20.59,0,44.76,5,15,2021-01-02,700,718,Individual,Fully Paid,0.1061,36,1.8562988606627986,20.59,Medium,0
6556,39351.72,36 months,13.77,1340.59,E,E5,5,OWN,35239.72,home_improvement,VA,19.72,1,66.32,9,15,2023-09-26,631,639,Individual,Fully Paid,0.1377,36,0.895506473414631,19.72,Very Low,0
6557,20088.76,60 months,7.28,400.48,A,A2,5,MORTGAGE,44339.08,vacation,WI,10.82,2,70.82,11,20,2022-10-27,757,768,Individual,Fully Paid,0.0728,60,2.20715863000006,10.82,High,0
6558,31245.84,60 months,13.02,711.33,E,E5,8,RENT,118337.23,home_improvement,NC,0.0,0,55.44,9,14,2021-09-30,642,651,Individual,Fully Paid,0.13019999999999998,60,3.7872955247802587,0.0,Low,0
6559,20534.98,60 months,7.33,409.85,B,B3,7,MORTGAGE,126242.95,car,FL,18.19,0,29.99,13,21,2021-11-20,734,744,Individual,Fully Paid,0.0733,60,6.147702603070468,18.19,High,0
6560,26764.01,60 months,11.58,589.74,C,C1,6,MORTGAGE,61490.1,house,CA,26.88,2,20.6,3,7,2023-09-12,693,708,Individual,Fully Paid,0.1158,60,2.2974920424854126,26.88,Medium,0
6561,21892.51,36 months,10.7,713.62,C,C5,6,MORTGAGE,39547.69,car,VA,15.25,0,16.04,10,18,2022-03-28,705,713,Individual,Fully Paid,0.107,36,1.8064484154626401,15.25,Medium,0
6562,15808.56,36 months,5.58,477.93,A,A1,0,RENT,46212.45,credit_card,NY,15.04,1,84.86,10,14,2024-03-27,765,776,Individual,Fully Paid,0.0558,36,2.9232548695137317,15.04,Very High,0
6563,24195.43,36 months,16.14,852.3,F,F4,4,MORTGAGE,62802.86,moving,FL,19.66,0,28.01,12,19,2023-02-06,617,630,Individual,Fully Paid,0.16140000000000002,36,2.595649674339328,19.66,Very Low,0
6564,26700.13,36 months,12.07,887.73,C,C5,3,RENT,68951.88,credit_card,WI,11.11,0,33.69,2,2,2022-03-19,692,708,Individual,Fully Paid,0.1207,36,2.5824548419801703,11.11,Medium,0
6565,19102.56,36 months,11.79,632.53,D,D4,8,MORTGAGE,70079.72,wedding,PA,15.68,0,55.2,7,10,2021-07-23,675,687,Individual,Fully Paid,0.11789999999999999,36,3.6686035798343255,15.68,Low,0
6566,24762.41,36 months,9.31,790.98,C,C2,7,MORTGAGE,38835.55,small_business,FL,25.92,0,62.65,6,13,2021-08-15,709,715,Individual,Fully Paid,0.0931,36,1.5683267501022722,25.92,Medium,0
6567,26306.33,60 months,10.07,559.9,C,C2,9,OWN,34973.81,medical,IN,19.5,0,51.45,8,8,2022-11-15,709,717,Joint,Fully Paid,0.1007,60,1.3294826758426583,19.5,Medium,0
6568,27766.88,36 months,12.9,934.21,D,D1,5,OWN,44067.42,moving,OH,31.41,1,51.68,6,7,2023-09-27,676,687,Joint,Charged Off,0.129,36,1.5870497513584527,31.41,Low,1
6569,32286.35,36 months,14.39,1109.52,E,E2,7,MORTGAGE,77751.73,debt_consolidation,MO,19.31,0,65.01,7,10,2023-03-20,634,653,Individual,Fully Paid,0.1439,36,2.4081920068388034,19.31,Very Low,0
6570,40000.0,36 months,13.06,1348.96,D,D4,1,OWN,182891.72,vacation,PA,22.73,0,68.55,7,10,2023-07-19,663,675,Individual,Fully Paid,0.1306,36,4.572293,22.73,Low,0
6571,17655.12,36 months,9.17,562.81,C,C2,2,RENT,33706.97,wedding,MI,13.72,0,36.39,4,7,2022-09-05,691,700,Individual,Fully Paid,0.0917,36,1.9091895155626244,13.72,Medium,0
6572,23205.51,36 months,10.82,757.79,D,D4,9,MORTGAGE,107254.2,house,CA,15.81,0,25.74,7,10,2022-09-05,667,676,Individual,Fully Paid,0.1082,36,4.621928154132359,15.81,Low,0
6573,25155.93,36 months,13.11,848.93,D,D5,3,MORTGAGE,79413.45,small_business,MA,19.32,0,63.25,7,12,2021-04-06,678,688,Individual,Fully Paid,0.1311,36,3.1568481069870997,19.32,Low,0
6574,21400.13,36 months,8.86,679.15,C,C2,2,MORTGAGE,40028.82,major_purchase,MD,27.65,0,48.69,8,14,2021-11-22,704,714,Individual,Fully Paid,0.0886,36,1.8704942446611306,27.65,Medium,0
6575,34184.49,60 months,10.85,740.74,D,D2,7,MORTGAGE,73112.92,moving,IL,16.67,0,53.39,4,6,2023-12-15,675,682,Individual,Fully Paid,0.1085,60,2.1387746314191025,16.67,Low,0
6576,33137.44,36 months,9.27,1057.95,C,C5,2,RENT,68569.17,major_purchase,AZ,25.08,2,26.48,12,20,2021-11-16,703,712,Individual,Fully Paid,0.09269999999999999,36,2.0692355836781595,25.08,Medium,0
6577,40000.0,60 months,11.08,871.37,D,D3,1,RENT,65007.93,vacation,MI,27.9,0,74.37,10,13,2022-09-05,664,677,Individual,Fully Paid,0.1108,60,1.62519825,27.9,Low,0
6578,27229.76,60 months,15.37,653.07,F,F2,10,MORTGAGE,71223.34,house,MO,33.64,0,46.39,14,20,2023-12-03,601,608,Individual,Fully Paid,0.1537,60,2.615643325537941,33.64,Very Low,0
6579,21165.68,60 months,14.28,495.6,F,F5,0,RENT,121311.96,car,CA,19.36,0,65.83,2,4,2022-01-18,609,620,Individual,Fully Paid,0.14279999999999998,60,5.731540871826467,19.36,Very Low,0
6580,25340.26,60 months,15.4,608.21,E,E2,6,RENT,75636.92,wedding,WI,21.13,0,56.84,9,11,2022-03-09,631,641,Individual,Charged Off,0.154,60,2.984851773423004,21.13,Very Low,1
6581,20048.13,36 months,10.47,651.33,D,D3,7,OTHER,61884.2,credit_card,IN,13.71,0,11.47,18,23,2022-10-24,671,677,Individual,Fully Paid,0.1047,36,3.0867816599353652,13.71,Low,0
6582,31422.45,36 months,14.28,1078.28,D,D2,10,OWN,43615.58,small_business,NJ,20.7,0,40.94,11,11,2021-06-08,680,691,Individual,Fully Paid,0.14279999999999998,36,1.388038806649386,20.7,Low,0
6583,27900.03,36 months,8.83,885.04,B,B1,9,RENT,65184.25,wedding,PA,22.01,0,38.69,8,15,2022-10-25,723,743,Joint,Fully Paid,0.0883,36,2.3363505343901063,22.01,High,0
6584,29458.25,36 months,12.75,988.96,C,C5,0,RENT,72042.56,wedding,PA,16.85,1,32.91,4,7,2021-06-06,702,719,Individual,Fully Paid,0.1275,36,2.445581797968311,16.85,Medium,0
6585,38966.81,60 months,7.29,776.97,B,B3,1,RENT,58698.1,car,CA,7.46,0,4.68,4,12,2022-01-30,737,747,Individual,Fully Paid,0.0729,60,1.5063614393890596,7.46,High,0
6586,22071.04,36 months,5.6,667.49,A,A1,1,RENT,109867.7,small_business,NY,15.13,0,81.89,3,6,2024-01-17,763,777,Individual,Fully Paid,0.055999999999999994,36,4.977912232500144,15.13,Very High,0
6587,24045.72,36 months,17.39,861.99,F,F1,0,RENT,118714.07,other,GA,0.0,1,61.06,9,16,2023-03-22,615,624,Individual,Charged Off,0.1739,36,4.937014570576386,0.0,Very Low,1
6588,26563.8,36 months,13.03,895.41,E,E4,1,RENT,52800.175,debt_consolidation,WA,17.1,2,44.34,6,9,2023-08-21,648,655,Individual,Fully Paid,0.1303,36,1.9876740150129124,17.1,Low,0
6589,19068.71,60 months,10.85,413.17,C,C5,5,OWN,47039.85,other,GA,9.29,1,21.24,4,12,2021-05-16,704,715,Individual,Fully Paid,0.1085,60,2.46686063189382,9.29,Medium,0
6590,19458.86,36 months,7.94,609.19,B,B1,8,RENT,160745.4,car,NY,21.21,0,18.62,7,13,2023-03-18,740,755,Individual,Fully Paid,0.0794,36,8.260781977978155,21.21,High,0
6591,25640.82,36 months,12.99,863.77,D,D2,10,RENT,61098.28,major_purchase,MA,36.12,0,38.84,10,16,2021-06-19,669,674,Individual,Charged Off,0.12990000000000002,36,2.3828520304732845,36.12,Low,1
6592,27504.14,60 months,11.41,603.68,C,C4,2,MORTGAGE,113219.7,credit_card,TX,25.49,0,48.0,6,14,2024-04-08,692,707,Individual,Fully Paid,0.11410000000000001,60,4.116460285615184,25.49,Medium,0
6593,21813.63,60 months,13.51,502.0,E,E1,9,RENT,32282.97,home_improvement,GA,12.26,0,0.0,0,10,2022-06-11,636,646,Individual,Fully Paid,0.1351,60,1.4799448785002771,12.26,Very Low,0
6594,21383.43,36 months,17.25,765.08,G,G4,0,OWN,56761.4,moving,WI,26.89,1,69.14,5,14,2022-12-04,581,588,Individual,Fully Paid,0.1725,36,2.6544572128980244,26.89,Very Low,0
6595,27638.96,36 months,6.73,850.07,B,B5,0,RENT,59447.4,wedding,OH,20.46,0,52.87,14,23,2021-04-03,734,743,Joint,Fully Paid,0.0673,36,2.150855169659061,20.46,High,0
6596,18574.54,36 months,6.56,569.81,B,B1,10,RENT,66580.06,small_business,GA,23.01,0,27.65,10,17,2022-10-22,736,752,Individual,Fully Paid,0.06559999999999999,36,3.5844796156459324,23.01,High,0
6597,24003.79,36 months,7.49,746.52,B,B3,1,RENT,57692.62,wedding,CA,16.51,0,66.14,7,14,2024-03-24,730,741,Individual,Fully Paid,0.07490000000000001,36,2.403479617177121,16.51,High,0
6598,29278.08,60 months,6.03,566.46,A,A1,2,RENT,165765.6,small_business,CA,26.08,1,60.12,8,14,2021-02-22,765,773,Individual,Fully Paid,0.0603,60,5.661764705882352,26.08,Very High,0
6599,29769.24,60 months,9.47,624.74,C,C3,6,RENT,49028.15,debt_consolidation,IN,11.46,1,80.67,9,13,2022-11-20,706,720,Individual,Fully Paid,0.0947,60,1.6469399285974382,11.46,Medium,0
6600,25511.73,36 months,6.3,779.63,A,A1,5,OWN,129444.51,medical,IL,3.35,1,30.1,9,15,2022-10-21,759,769,Individual,Fully Paid,0.063,36,5.0739212903240976,3.35,High,0
6601,28879.21,36 months,6.77,888.64,A,A2,4,OWN,75725.97,moving,NY,13.12,0,48.29,11,20,2021-06-17,760,777,Individual,Fully Paid,0.0677,36,2.6221621020796624,13.12,High,0
6602,24547.01,60 months,7.48,491.65,B,B2,0,OWN,165176.59,debt_consolidation,MD,20.68,0,67.62,14,20,2021-11-11,739,747,Individual,Fully Paid,0.0748,60,6.728990211027739,20.68,High,0
6603,17538.13,36 months,7.59,546.26,B,B3,1,MORTGAGE,92904.32,major_purchase,OH,13.47,0,67.16,9,14,2024-03-21,738,749,Individual,Fully Paid,0.0759,36,5.2972762774594555,13.47,High,0
6604,40000.0,36 months,13.24,1352.4,D,D1,9,RENT,29939.65,major_purchase,TX,24.6,0,70.0,10,19,2023-12-27,661,675,Individual,Fully Paid,0.1324,36,0.74849125,24.6,Low,0
6605,24581.33,60 months,6.41,479.91,A,A3,4,OTHER,78373.04,debt_consolidation,IL,19.6,0,23.57,6,7,2021-10-19,760,765,Individual,Fully Paid,0.0641,60,3.1883156851154917,19.6,High,0
6606,30264.73,36 months,13.86,1032.25,E,E2,3,MORTGAGE,49016.82,medical,TX,13.93,0,99.91,13,17,2024-01-02,632,642,Individual,Fully Paid,0.1386,36,1.6196020912791886,13.93,Very Low,0
6607,24167.66,36 months,7.37,750.33,B,B2,1,MORTGAGE,92771.21,medical,WI,18.43,0,34.78,13,18,2023-09-11,726,737,Individual,Fully Paid,0.0737,36,3.838650907866132,18.43,High,0
6608,14378.19,36 months,6.92,443.41,A,A1,2,MORTGAGE,80234.39,moving,IN,0.0,0,0.65,6,15,2023-10-14,763,771,Individual,Fully Paid,0.0692,36,5.5802844447040965,0.0,Very High,0
6609,17693.68,36 months,5.76,536.38,A,A3,1,MORTGAGE,34458.31,credit_card,WA,22.93,0,45.504999999999995,12,13,2021-06-08,753,760,Individual,Fully Paid,0.0576,36,1.9474925510125647,22.93,High,0
6610,38516.73,36 months,10.1,1244.71,D,D1,10,MORTGAGE,48822.8,other,MA,19.9,2,28.71,15,21,2021-06-22,666,682,Individual,Fully Paid,0.10099999999999999,36,1.267573856866873,19.9,Low,0
